class	parent_class	field	type_code	type_size_bytes	type_guess	offset_dec	offset_hex	elem_count	enum_table	reg_func	parent_reg_func	call_site	class_confidence
AIObjective	MissionMarker	description	7	4	string(char*)	2184	0x888	1		0x0047d880		0x0047d898	vtable-init
AIObjective	MissionMarker	mode	7	4	string(char*)	2188	0x88c	1		0x0047d880		0x0047d8b0	vtable-init
AIObjective	MissionMarker	targetClient	7	4	string(char*)	2192	0x890	1		0x0047d880		0x0047d8c8	vtable-init
AIObjective	MissionMarker	targetObject	7	4	string(char*)	2196	0x894	1		0x0047d880		0x0047d8e0	vtable-init
AIObjective	MissionMarker	targetClientId	1	4	S32	2200	0x898	1		0x0047d880		0x0047d8f8	vtable-init
AIObjective	MissionMarker	targetObjectId	1	4	S32	2204	0x89c	1		0x0047d880		0x0047d910	vtable-init
AIObjective	MissionMarker	location	16	12	Point3F(12B)	2208	0x8a0	1		0x0047d880		0x0047d928	vtable-init
AIObjective	MissionMarker	weightLevel1	1	4	S32	2220	0x8ac	1		0x0047d880		0x0047d940	vtable-init
AIObjective	MissionMarker	weightLevel2	1	4	S32	2224	0x8b0	1		0x0047d880		0x0047d958	vtable-init
AIObjective	MissionMarker	weightLevel3	1	4	S32	2228	0x8b4	1		0x0047d880		0x0047d970	vtable-init
AIObjective	MissionMarker	weightLevel4	1	4	S32	2232	0x8b8	1		0x0047d880		0x0047d988	vtable-init
AIObjective	MissionMarker	offense	3	1	bool(4)	2236	0x8bc	1		0x0047d880		0x0047d9a0	vtable-init
AIObjective	MissionMarker	defense	3	1	bool(4)	2237	0x8bd	1		0x0047d880		0x0047d9b8	vtable-init
AIObjective	MissionMarker	equipment	7	4	string(char*)	2240	0x8c0	1		0x0047d880		0x0047d9d0	vtable-init
AIObjective	MissionMarker	desiredEquipment	7	4	string(char*)	2244	0x8c4	1		0x0047d880		0x0047d9e8	vtable-init
AIObjective	MissionMarker	buyEquipmentSet	7	4	string(char*)	2248	0x8c8	1		0x0047d880		0x0047da00	vtable-init
AIObjective	MissionMarker	chat	7	4	string(char*)	2252	0x8cc	1		0x0047d880		0x0047da18	vtable-init
AIObjective	MissionMarker	locked	3	1	bool(4)	2256	0x8d0	1		0x0047d880		0x0047da78	vtable-init
AIObjective	MissionMarker	issuedByHuman	3	1	bool(4)	2257	0x8d1	1		0x0047d880		0x0047da30	vtable-init
AIObjective	MissionMarker	issuedByClientId	1	4	S32	2260	0x8d4	1		0x0047d880		0x0047da48	vtable-init
AIObjective	MissionMarker	forceClientId	1	4	S32	2264	0x8d8	1		0x0047d880		0x0047da60	vtable-init
AudioDescription	SimDataBlock	volume	5	4	F32	60	0x3c	1		0x0040bd40		0x0040bd50	vtable-init
AudioDescription	SimDataBlock	isLooping	3	1	bool(4)	64	0x40	1		0x0040bd40		0x0040bd65	vtable-init
AudioDescription	SimDataBlock	is3D	3	1	bool(4)	65	0x41	1		0x0040bd40		0x0040bd7a	vtable-init
AudioDescription	SimDataBlock	minDistance	5	4	F32	68	0x44	1		0x0040bd40		0x0040bd8f	vtable-init
AudioDescription	SimDataBlock	maxDistance	5	4	F32	72	0x48	1		0x0040bd40		0x0040bda4	vtable-init
AudioDescription	SimDataBlock	coneInsideAngle	1	4	S32	76	0x4c	1		0x0040bd40		0x0040bdb9	vtable-init
AudioDescription	SimDataBlock	coneOutsideAngle	1	4	S32	80	0x50	1		0x0040bd40		0x0040bdce	vtable-init
AudioDescription	SimDataBlock	coneOutsideVolume	5	4	F32	84	0x54	1		0x0040bd40		0x0040bde3	vtable-init
AudioDescription	SimDataBlock	coneVector	16	12	Point3F(12B)	88	0x58	1		0x0040bd40		0x0040bdf8	vtable-init
AudioDescription	SimDataBlock	environmentLevel	5	4	F32	100	0x64	1		0x0040bd40		0x0040be0d	vtable-init
AudioDescription	SimDataBlock	loopCount	1	4	S32	104	0x68	1		0x0040bd40		0x0040be22	vtable-init
AudioDescription	SimDataBlock	minLoopGap	1	4	S32	108	0x6c	1		0x0040bd40		0x0040be37	vtable-init
AudioDescription	SimDataBlock	maxLoopGap	1	4	S32	112	0x70	1		0x0040bd40		0x0040be4c	vtable-init
AudioDescription	SimDataBlock	type	1	4	S32	116	0x74	1		0x0040bd40		0x0040be61	vtable-init
AudioEmitter	SceneObject	profile	34	4	AudioProfile*	596	0x254	1		0x0067fa40	0x0058c7f0	0x0067fa58	vtable-init
AudioEmitter	SceneObject	description	33	4	?	600	0x258	1		0x0067fa40	0x0058c7f0	0x0067fa70	vtable-init
AudioEmitter	SceneObject	fileName	7	4	string(char*)	604	0x25c	1		0x0067fa40	0x0058c7f0	0x0067fa88	vtable-init
AudioEmitter	SceneObject	useProfileDescription	3	1	bool(4)	608	0x260	1		0x0067fa40	0x0058c7f0	0x0067faa0	vtable-init
AudioEmitter	SceneObject	volume	5	4	F32	612	0x264	1		0x0067fa40	0x0058c7f0	0x0067fad0	vtable-init
AudioEmitter	SceneObject	isLooping	3	1	bool(4)	616	0x268	1		0x0067fa40	0x0058c7f0	0x0067fae8	vtable-init
AudioEmitter	SceneObject	is3D	3	1	bool(4)	617	0x269	1		0x0067fa40	0x0058c7f0	0x0067fb00	vtable-init
AudioEmitter	SceneObject	minDistance	5	4	F32	620	0x26c	1		0x0067fa40	0x0058c7f0	0x0067fb18	vtable-init
AudioEmitter	SceneObject	maxDistance	5	4	F32	624	0x270	1		0x0067fa40	0x0058c7f0	0x0067fb30	vtable-init
AudioEmitter	SceneObject	coneInsideAngle	1	4	S32	628	0x274	1		0x0067fa40	0x0058c7f0	0x0067fb48	vtable-init
AudioEmitter	SceneObject	coneOutsideAngle	1	4	S32	632	0x278	1		0x0067fa40	0x0058c7f0	0x0067fb60	vtable-init
AudioEmitter	SceneObject	coneOutsideVolume	5	4	F32	636	0x27c	1		0x0067fa40	0x0058c7f0	0x0067fb78	vtable-init
AudioEmitter	SceneObject	coneVector	16	12	Point3F(12B)	640	0x280	1		0x0067fa40	0x0058c7f0	0x0067fb90	vtable-init
AudioEmitter	SceneObject	loopCount	1	4	S32	656	0x290	1		0x0067fa40	0x0058c7f0	0x0067fba8	vtable-init
AudioEmitter	SceneObject	minLoopGap	1	4	S32	660	0x294	1		0x0067fa40	0x0058c7f0	0x0067fbc0	vtable-init
AudioEmitter	SceneObject	maxLoopGap	1	4	S32	664	0x298	1		0x0067fa40	0x0058c7f0	0x0067fbd8	vtable-init
AudioEmitter	SceneObject	type	9	4	enum(S32)+table	668	0x29c	1	0x842350	0x0067fa40	0x0058c7f0	0x0067fbf3	vtable-init
AudioEmitter	SceneObject	outsideAmbient	3	1	bool(4)	672	0x2a0	1		0x0067fa40	0x0058c7f0	0x0067fab8	vtable-init
AudioEnvironment	SimDataBlock	useRoom	3	1	bool(4)	60	0x3c	1		0x0040b1e0		0x0040b1f0	vtable-init
AudioEnvironment	SimDataBlock	room	9	4	enum(S32)+table	64	0x40	1	0x7df834	0x0040b1e0		0x0040b208	vtable-init
AudioEnvironment	SimDataBlock	roomHF	1	4	S32	68	0x44	1		0x0040b1e0		0x0040b21d	vtable-init
AudioEnvironment	SimDataBlock	reflections	1	4	S32	72	0x48	1		0x0040b1e0		0x0040b232	vtable-init
AudioEnvironment	SimDataBlock	reverb	1	4	S32	76	0x4c	1		0x0040b1e0		0x0040b247	vtable-init
AudioEnvironment	SimDataBlock	roomRolloffFactor	5	4	F32	80	0x50	1		0x0040b1e0		0x0040b25c	vtable-init
AudioEnvironment	SimDataBlock	decayTime	5	4	F32	84	0x54	1		0x0040b1e0		0x0040b271	vtable-init
AudioEnvironment	SimDataBlock	decayHFRatio	5	4	F32	88	0x58	1		0x0040b1e0		0x0040b286	vtable-init
AudioEnvironment	SimDataBlock	reflectionsDelay	5	4	F32	92	0x5c	1		0x0040b1e0		0x0040b29b	vtable-init
AudioEnvironment	SimDataBlock	reverbDelay	5	4	F32	96	0x60	1		0x0040b1e0		0x0040b2b0	vtable-init
AudioEnvironment	SimDataBlock	roomVolume	1	4	S32	100	0x64	1		0x0040b1e0		0x0040b2c5	vtable-init
AudioEnvironment	SimDataBlock	effectVolume	5	4	F32	104	0x68	1		0x0040b1e0		0x0040b2da	vtable-init
AudioEnvironment	SimDataBlock	damping	5	4	F32	108	0x6c	1		0x0040b1e0		0x0040b2ef	vtable-init
AudioEnvironment	SimDataBlock	environmentSize	5	4	F32	112	0x70	1		0x0040b1e0		0x0040b304	vtable-init
AudioEnvironment	SimDataBlock	environmentDiffusion	5	4	F32	116	0x74	1		0x0040b1e0		0x0040b319	vtable-init
AudioEnvironment	SimDataBlock	airAbsorption	5	4	F32	120	0x78	1		0x0040b1e0		0x0040b32e	vtable-init
AudioEnvironment	SimDataBlock	flags	1	4	S32	124	0x7c	1		0x0040b1e0		0x0040b343	vtable-init
AudioProfile	SimDataBlock	description	33	4	?	60	0x3c	1		0x0040c400		0x0040c425	vtable-init
AudioProfile	SimDataBlock	effect	42	4	EffectProfile*	64	0x40	1		0x0040c400		0x0040c43a	vtable-init
AudioProfile	SimDataBlock	environment	44	16	AudioEnvironment*?	68	0x44	1		0x0040c400		0x0040c44f	vtable-init
AudioProfile	SimDataBlock	filename	7	4	string(char*)	84	0x54	1		0x0040c400		0x0040c410	vtable-init
AudioProfile	SimDataBlock	preload	3	1	bool(4)	88	0x58	1		0x0040c400		0x0040c464	vtable-init
AudioSampleEnvironment	SimDataBlock	direct	1	4	S32	60	0x3c	1		0x0040b850		0x0040b860	vtable-init
AudioSampleEnvironment	SimDataBlock	directHF	1	4	S32	64	0x40	1		0x0040b850		0x0040b875	vtable-init
AudioSampleEnvironment	SimDataBlock	room	1	4	S32	68	0x44	1		0x0040b850		0x0040b88a	vtable-init
AudioSampleEnvironment	SimDataBlock	obstruction	5	4	F32	76	0x4c	1		0x0040b850		0x0040b89f	vtable-init
AudioSampleEnvironment	SimDataBlock	obstructionLFRatio	5	4	F32	80	0x50	1		0x0040b850		0x0040b8b4	vtable-init
AudioSampleEnvironment	SimDataBlock	occlusion	5	4	F32	84	0x54	1		0x0040b850		0x0040b8c9	vtable-init
AudioSampleEnvironment	SimDataBlock	occlusionLFRatio	5	4	F32	88	0x58	1		0x0040b850		0x0040b8de	vtable-init
AudioSampleEnvironment	SimDataBlock	occlusionRoomRatio	5	4	F32	92	0x5c	1		0x0040b850		0x0040b8f3	vtable-init
AudioSampleEnvironment	SimDataBlock	roomRolloff	5	4	F32	96	0x60	1		0x0040b850		0x0040b908	vtable-init
AudioSampleEnvironment	SimDataBlock	airAbsorption	5	4	F32	100	0x64	1		0x0040b850		0x0040b91d	vtable-init
AudioSampleEnvironment	SimDataBlock	outsideVolumeHF	1	4	S32	104	0x68	1		0x0040b850		0x0040b932	vtable-init
AudioSampleEnvironment	SimDataBlock	flags	1	4	S32	108	0x6c	1		0x0040b850		0x0040b947	vtable-init
BeaconObject	StaticShape	beaconType	9	4	enum(S32)+table	2184	0x888	1	0x842840	0x006a3cd0		0x006a3ceb	vtable-init
BombProjectileData	GrenadeProjectileData	texture	7	4	string(char*)	344	0x158	2		0x00699360	0x006333d0	0x00699378	vtable-init
BombProjectileData	GrenadeProjectileData	minRotSpeed	16	12	Point3F(12B)	360	0x168	1		0x00699360	0x006333d0	0x00699390	vtable-init
BombProjectileData	GrenadeProjectileData	maxRotSpeed	16	12	Point3F(12B)	372	0x174	1		0x00699360	0x006333d0	0x006993a8	vtable-init
CannedChatItem	SimDataBlock	name	7	4	string(char*)	60	0x3c	1		0x00593340		0x00593350	vtable-init
CannedChatItem	SimDataBlock	text	7	4	string(char*)	64	0x40	1		0x00593340		0x00593365	vtable-init
CannedChatItem	SimDataBlock	audioFile	7	4	string(char*)	68	0x44	1		0x00593340		0x0059337a	vtable-init
CannedChatItem	SimDataBlock	animation	7	4	string(char*)	72	0x48	1		0x00593340		0x0059338f	vtable-init
CannedChatItem	SimDataBlock	teamOnly	3	1	bool(4)	76	0x4c	1		0x00593340		0x005933a4	vtable-init
CannedChatItem	SimDataBlock	play3D	3	1	bool(4)	77	0x4d	1		0x00593340		0x005933b9	vtable-init
